Product,CustomerGender,Location,Region,TotalPrice,StartDate,Deposit,DailyRate,TotalDays,AmountPaid30,AmountPaid60,AmountPaid360,LoanStatus360
Product A,Male,Location 22,Region 6,19250,8/12/2015,1000,50,365,700,2700,16770,Active
Product A,Female,Location 39,Region 6,19250,11/28/2015,1000,50,365,950,2050,15000,Active
Product A,Female,Location 42,Region 4,22250,1/15/2016,4000,50,365,10500,10500,20285,Active
Product B,Female,Location 45,Region 3,16600,10/2/2014,2000,40,365,3460,4180,12960,Active
Product B,Female,Location 165,Region 2,16600,5/4/2014,2000,40,365,3801,4481,14801,Active
Product B,Female,Location 45,Region 3,16600,2/11/2015,2000,40,365,3201,4241,13891,Active
Product A,Female,Location 11,Region 3,19250,6/9/2016,1000,50,365,-1900,-300,14400,Active
Product D,Male,Location 238,Region 2,20250,11/12/2013,2000,50,365,3701,5051,19551,Active
Product A,Male,Location 49,Region 6,22250,8/6/2015,4000,50,365,5500,7100,21800,Active
Product C,NotSpecified,Location 210,Region 4,15600,11/19/2012,1000,40,365,3700,3700,14210,Active
Product A,Female,Location 61,Region 2,20250,11/28/2015,2000,50,365,1450,2900,13950,Active
Product A,Male,Location 3,Region 3,20250,7/23/2016,2000,50,365,1831,3381,8636,Active
Product A,Female,Location 113,Region 3,22250,6/19/2016,4000,50,365,5850,7250,20550,Active
Product A,Male,Location 44,Region 1,19250,1/28/2016,1000,50,365,950,2450,11800,Active
Product B,Female,Location 61,Region 2,16600,3/20/2015,2000,40,365,3180,4420,15903,Active
Product A,Male,Location 44,Region 1,22250,5/28/2015,4000,50,365,5200,5700,9605,Active
Product B,Male,Location 18,Region 7,16600,5/30/2014,2000,40,365,3611,4811,16400,Active
Product B,Male,Location 25,Region 3,16600,7/29/2014,2000,40,365,3401,3401,13251,Active
Product A,Male,Location 30,Region 2,22250,5/27/2015,4000,50,365,4950,5700,9500,Active
Product B,Male,Location 109,Region 7,16600,4/20/2015,2000,40,365,3671,4371,11481,Active
Product B,Male,Location 18,Region 7,16600,5/10/2014,2000,40,365,3400,4600,10130,Active
Product A,Female,Location 57,Region 6,22250,8/3/2015,4000,50,365,5350,7050,17900,Active
Product A,Male,Location 1,Region 1,22250,2/20/2016,4000,50,365,5900,6750,13600,Active
Product B,Male,Location 37,Region 4,16600,12/10/2014,2000,40,365,3180,4380,12000,Active
Product A,Male,Location 11,Region 3,19250,11/10/2015,1000,50,365,850,2350,10500,Active
Product B,Male,Location 26,Region 3,16600,7/21/2014,2000,40,365,3901,4801,16316,Active
Product D,Female,Location 134,Region 6,20250,5/14/2013,2000,50,365,4050,5550,14800,Active
Product A,Male,Location 62,Region 3,22250,7/24/2015,4000,50,365,7000,8250,22050,Active
Product A,Male,Location 20,Region 1,19250,10/13/2015,1000,50,365,-500,-500,3280,Active
Product A,Male,Location 192,Region 6,19250,3/13/2016,1000,50,365,-1750,-200,15050,Active
Product D,Male,Location 402,Region 6,20250,8/16/2013,2000,50,365,3550,5050,13150,Active
Product C,Male,Location 207,Region 13,13775,4/5/2014,1000,35,365,1700,2120,4815,Active
Product D,Male,Location 75,Region 3,20250,7/21/2013,2000,50,365,4350,5700,17650,Active
Product A,Female,Location 37,Region 4,22250,6/9/2015,4000,50,365,4700,5900,14690,Active
Product C,NotSpecified,Location 508,Region 6,15600,2/19/2013,1000,40,365,2000,3080,12320,Active
Product D,Male,Location 67,Region 1,20250,8/10/2013,2000,50,365,3400,4850,19650,Active
Product B,Male,Location 17,Region 3,16600,4/16/2015,2000,40,365,3280,4400,16160,Active
Product B,Male,Location 60,Region 3,16600,2/6/2014,2000,40,365,3401,4501,16101,Active
Product D,Male,Location 509,Region 6,20250,9/3/2013,2000,50,365,3451,4651,13551,Active
Product A,Male,Location 32,Region 6,19250,10/14/2015,1000,50,365,715,2095,16603,Active
Product B,Female,Location 11,Region 3,16600,2/20/2015,2000,40,365,2741,2901,6381,Active
Product B,Male,Location 21,Region 7,16600,10/11/2014,2000,40,365,3040,4240,15360,Active
Product A,Male,Location 88,Region 7,19250,4/27/2016,1000,50,365,-250,2750,15600,Active
Product B,Female,Location 6,Region 1,16600,10/8/2014,2000,40,365,3241,4081,16203,Active
Product A,Female,Location 49,Region 6,22250,1/17/2016,4000,50,365,5400,7100,19550,Active
Product C,Male,Location 259,Region 5,15600,3/11/2012,1000,40,365,2640,3440,15125,Active
Product C,Male,Location 270,Region 6,15600,3/22/2013,1000,40,365,3710,3710,15320,Active
Product A,Male,Location 3,Region 3,19250,3/6/2016,1000,50,365,-1920,-450,13156,Active
Product B,Female,Location 11,Region 3,16600,5/31/2015,2000,40,365,2201,2441,4141,Active
Product A,Male,Location 8,Region 2,19250,10/26/2015,1000,50,365,1100,1800,13310,Active
Product C,Female,Location 463,Region 1,15600,2/9/2013,1000,40,365,2490,3690,12085,Active
Product B,Male,Location 3,Region 3,16600,1/1/2015,2000,40,365,2861,4021,11341,Active
Product B,Male,Location 23,Region 4,16600,5/9/2014,2000,40,365,3201,4321,16121,Active
Product A,Male,Location 22,Region 6,19250,8/11/2015,1000,50,365,660,1960,11868,Active
Product B,Female,Location 111,Region 6,16600,8/14/2014,2000,40,365,3001,3001,7581,Active
Product B,Female,Location 104,Region 7,16600,8/22/2014,2000,40,365,6201,6201,16081,Active
Product A,Male,Location 6,Region 1,19250,4/30/2016,1000,50,365,-2100,-900,9450,Active
Product B,Female,Location 135,Region 1,16600,3/27/2015,2000,40,365,3240,4480,16450,Active
Product A,Female,Location 94,Region 6,22250,6/25/2016,4000,50,365,5100,6180,14100,Active
Product B,Male,Location 49,Region 6,16600,11/14/2014,2000,40,365,7950,8430,12930,Active
Product A,Male,Location 6,Region 1,19250,5/8/2016,1000,50,365,-1850,-350,13850,Active
Product B,Male,Location 86,Region 6,16600,5/15/2015,2000,40,365,2930,3930,12710,Active
Product A,Male,Location 17,Region 3,22250,6/24/2016,4000,50,365,5250,6600,17183,Active
Product A,Male,Location 111,Region 6,20750,9/19/2015,2500,50,365,2170,3620,13930,Active
Product B,Female,Location 1,Region 1,16600,12/18/2014,2000,40,365,4601,4601,14251,Active
Product B,Male,Location 4,Region 4,16600,7/21/2014,2000,40,365,3182,3973,10734,Active
Product D,Male,Location 103,Region 1,20250,5/1/2013,2000,50,365,3450,5050,19800,Active
Product A,Male,Location 19,Region 2,22250,5/13/2016,4000,50,365,4450,5150,19900,Active
Product B,Male,Location 86,Region 6,16600,9/22/2014,2000,40,365,3400,4600,15480,Active
Product A,Male,Location 49,Region 6,19250,8/10/2015,1000,50,365,550,2050,17350,Active
Product D,Male,Location 480,Region 6,20250,4/8/2013,2000,50,365,3001,4451,14051,Active
Product A,Male,Location 48,Region 6,20250,1/2/2016,2000,50,365,1651,3401,18101,Active
Product A,Male,Location 46,Region 2,22250,2/27/2016,4000,50,365,5250,6800,18050,Active
Product A,Female,Location 49,Region 6,20250,7/12/2016,2000,50,365,1450,2000,7800,Active
Product A,Female,Location 49,Region 6,19250,1/9/2016,1000,50,365,330,1460,11130,Active
Product D,Male,Location 195,Region 5,20250,7/16/2013,2000,50,365,3350,4850,17440,Active
Product A,Male,Location 94,Region 6,19250,11/5/2015,1000,50,365,1000,2100,8706,Active
Product A,Female,Location 32,Region 6,20750,9/5/2015,2500,50,365,2020,3270,10870,Active
Product A,Female,Location 94,Region 6,20250,7/7/2016,2000,50,365,1651,3051,17600,Active
Product A,Female,Location 39,Region 6,22250,10/24/2015,4000,50,365,6000,7500,19050,Active
Product C,NotSpecified,Location 513,Region 5,15600,1/7/2013,1000,40,365,1980,2530,9410,Active
Product B,Female,Location 49,Region 6,16600,7/12/2014,2000,40,365,6001,6001,16161,Active
Product B,Female,Location 45,Region 3,16600,5/16/2014,2000,40,365,3401,4301,9605,Active
Product A,Female,Location 39,Region 6,19250,2/19/2016,1000,50,365,250,2850,14700,Active
Product B,Male,Location 30,Region 2,16600,5/13/2014,2000,40,365,3440,4330,11460,Active
Product D,Male,Location 171,Region 5,20250,8/3/2013,2000,50,365,3666,4766,13848,Active
Product A,Female,Location 6,Region 1,22250,2/8/2016,4000,50,365,5500,6850,21850,Active
Product C,NotSpecified,Location 66,Region 2,15600,11/9/2012,1000,40,365,2120,3240,13960,Active
Product A,Female,Location 3,Region 3,19250,10/31/2015,1000,50,365,1150,2150,9350,Active
Product C,Female,Location 514,Region 6,15600,3/18/2013,1000,40,365,2280,3720,13840,Active
Product B,Male,Location 149,Region 1,16600,3/23/2015,2000,40,365,3081,4281,11321,Active
Product B,Male,Location 351,Region 6,16600,5/24/2014,2000,40,365,3231,3911,13061,Active
Product A,Female,Location 62,Region 3,20750,9/25/2015,2500,50,365,2500,3650,17830,Active
Product C,Female,Location 255,Region 5,15600,11/2/2012,1000,40,365,2120,3280,14040,Active
Product A,Male,Location 40,Region 6,20250,12/9/2015,2000,50,365,1316,1799,10528,Active
Product B,Male,Location 58,Region 6,16600,3/13/2014,2000,40,365,3426,4626,16511,Active
Product B,Male,Location 3,Region 3,16600,2/13/2015,2000,40,365,3761,4321,14541,Active
Product A,Female,Location 63,Region 6,22250,1/16/2016,4000,50,365,5600,7000,18470,Active
Product B,Male,Location 516,Region 1,16600,1/30/2014,2000,40,365,5001,5001,14401,Active
Product D,Female,Location 517,Region 2,20250,7/21/2013,2000,50,365,3501,5021,19491,Active
Product B,Male,Location 6,Region 1,16600,7/23/2014,2000,40,365,2760,3200,8580,Active
Product B,Male,Location 30,Region 2,16600,1/19/2015,2000,40,365,3431,4241,9141,Active
Product A,Male,Location 58,Region 6,22250,2/23/2016,4000,50,365,6500,7500,18450,Active
Product A,Male,Location 142,Region 6,22250,7/20/2015,4000,50,365,6050,7040,20430,Active
Product B,Male,Location 353,Region 6,16600,2/9/2014,2000,40,365,3701,4401,12881,Active
Product C,Female,Location 518,Region 6,15600,1/8/2013,1000,40,365,2400,3620,12910,Active
Product B,Female,Location 39,Region 6,16600,5/10/2015,2000,40,365,2500,3060,9120,Active
Product C,Male,Location 68,Region 6,15600,1/3/2013,1000,40,365,2500,3500,15190,Active
Product E,Male,Location 26,Region 3,54625,9/20/2015,9000,125,365,12251,15126,37751,Active
Product D,Male,Location 133,Region 6,20250,9/17/2013,2000,50,365,3750,5150,16750,Active
Product A,Male,Location 21,Region 7,22250,5/15/2016,4000,50,365,4680,5180,8260,Active
Product B,Male,Location 6,Region 1,16600,5/4/2014,2000,40,365,3200,4400,16300,Active
Product A,Male,Location 89,Region 6,20750,9/20/2015,2500,50,365,2350,3700,18050,Active
Product A,Female,Location 49,Region 6,22250,8/31/2015,4000,50,365,5350,6800,21550,Active
Product A,Male,Location 50,Region 1,19250,12/14/2015,1000,50,365,600,1900,15200,Active
Product E,Female,Location 10,Region 2,54625,4/10/2016,9000,125,365,14001,17001,46001,Active
Product C,Male,Location 272,Region 3,15600,4/7/2013,1000,40,365,2240,3360,14540,Active
Product A,Female,Location 50,Region 1,19250,3/19/2016,1000,50,365,-2750,-2750,3640,Active
Product B,Female,Location 111,Region 6,16600,2/25/2015,2000,40,365,4281,4281,13651,Active
Product D,Male,Location 355,Region 6,20250,11/12/2013,2000,50,365,3751,5101,14741,Active
Product D,Male,Location 521,Region 6,20250,11/19/2013,2000,50,365,7250,7750,19080,Active
Product B,Male,Location 104,Region 7,16600,2/3/2014,2000,40,365,3100,4380,16230,Active
Product E,Female,Location 69,Region 6,54625,7/29/2016,9000,125,365,12056,15431,51476,Active
Product D,Female,Location 522,Region 1,20250,8/18/2013,2000,50,365,2810,3810,6100,Active
Product B,Female,Location 44,Region 1,16600,8/14/2014,2000,40,365,3448,4448,15928,Active
Product B,Female,Location 62,Region 3,16600,3/3/2015,2000,40,365,3401,4501,16081,Active
Product B,Male,Location 62,Region 3,16600,2/8/2015,2000,40,365,4641,5921,13091,Active
Product B,Male,Location 156,Region 4,16600,11/21/2014,2000,40,365,4301,4801,11671,Active
Product D,Male,Location 319,Region 4,20250,9/21/2013,2000,50,365,3751,5251,10661,Active
Product B,Female,Location 84,Region 3,16600,4/3/2015,2000,40,365,3161,4841,12941,Active
Product A,Female,Location 61,Region 2,20250,7/4/2016,2000,50,365,1555,3050,16060,Active
Product B,Male,Location 88,Region 7,16600,7/29/2014,2000,40,365,2960,4260,14622,Active
Product A,Female,Location 26,Region 3,22250,8/7/2015,4000,50,365,5340,6850,18350,Active
Product B,Male,Location 44,Region 1,16600,6/30/2014,2000,40,365,3451,4851,12481,Active
Product A,Male,Location 87,Region 6,22250,4/25/2016,4000,50,365,5750,7150,15350,Active
Product A,Male,Location 53,Region 6,19250,11/16/2015,1000,50,365,400,700,16250,Active
Product B,Male,Location 341,Region 1,16600,2/15/2015,2000,40,365,3101,4141,15801,Active
Product A,Female,Location 3,Region 3,19250,10/18/2015,1000,50,365,-50,350,9250,Active
Product A,Female,Location 89,Region 6,19250,4/18/2016,1000,50,365,-1250,1250,17750,Active
Product B,Male,Location 61,Region 2,16600,2/28/2015,2000,40,365,3400,5200,12140,Active
Product A,Male,Location 4,Region 4,22250,8/27/2015,4000,50,365,5500,6750,21400,Active
Product B,Female,Location 2,Region 2,16600,5/25/2015,2000,40,365,4270,4850,15860,Active
Product D,Male,Location 17,Region 3,20250,9/24/2013,2000,50,365,3401,4751,19211,Active
Product B,Male,Location 12,Region 6,16600,9/23/2014,2000,40,365,3121,4521,10231,Active
Product B,Male,Location 58,Region 6,16600,12/19/2014,2000,40,365,3481,4551,16100,Active
Product A,Female,Location 3,Region 3,22250,6/18/2016,4000,50,365,5950,6950,14350,Active
Product E,Male,Location 61,Region 2,54625,1/2/2016,9000,125,365,12381,16006,33381,Active
Product A,Female,Location 46,Region 2,19250,4/22/2016,1000,50,365,-2000,-550,14000,Active
Product D,Female,Location 524,Region 5,20250,4/12/2013,2000,50,365,3401,4901,19701,Active
Product C,NotSpecified,Location 495,Region 12,15600,11/10/2012,1000,40,365,2280,3280,15040,Active
Product A,Male,Location 525,Region 14,20250,1/18/2016,2000,50,365,1600,3100,18300,Active
Product A,Female,Location 57,Region 6,22250,2/22/2016,4000,50,365,5100,6350,17850,Active
Product B,Male,Location 416,Region 9,16600,2/10/2014,2000,40,365,3401,6401,15101,Active
Product B,Male,Location 6,Region 1,16600,6/22/2014,2000,40,365,2936,4166,14196,Active
Product D,Female,Location 158,Region 3,20250,5/3/2013,2000,50,365,3651,4901,15251,Active
Product A,Male,Location 47,Region 7,22250,11/11/2015,4000,50,365,4900,5850,11450,Active
Product D,Male,Location 144,Region 1,20250,7/5/2013,2000,50,365,3351,4551,13401,Active
Product B,Male,Location 216,Region 1,16600,5/26/2014,2000,40,365,2741,2741,6121,Active
Product B,Female,Location 70,Region 7,16600,3/31/2015,2000,40,365,3060,4330,15480,Active
Product E,Female,Location 3,Region 3,54625,7/24/2016,9000,125,365,12501,16101,31973,Active
Product A,Female,Location 38,Region 3,22250,8/20/2015,4000,50,365,5000,6300,15190,Active
Product B,Female,Location 13,Region 6,16600,3/2/2014,2000,40,365,3210,4290,15358,Active
Product A,Male,Location 25,Region 3,22250,7/9/2015,4000,50,365,5390,6140,14070,Active
Product A,Male,Location 37,Region 4,19250,8/7/2015,1000,50,365,650,2050,15950,Active
Product A,Female,Location 192,Region 6,19250,4/8/2016,1000,50,365,-1650,-500,10250,Active
Product A,Female,Location 18,Region 7,19250,3/11/2016,1000,50,365,-1750,523,18783,Active
Product A,Male,Location 49,Region 6,22250,6/25/2016,4000,50,365,4750,5050,6950,Active
Product B,Male,Location 73,Region 4,16600,5/1/2015,2000,40,365,3421,4301,12841,Active
Product B,Male,Location 88,Region 7,16600,3/24/2014,2000,40,365,3400,13500,13870,Active
Product C,Female,Location 181,Region 6,15600,11/17/2012,1000,40,365,2130,3130,14760,Active
Product B,Female,Location 82,Region 7,16600,5/24/2015,2000,40,365,3171,4251,13761,Active
Product A,Male,Location 13,Region 6,22250,8/30/2015,4000,50,365,5650,6850,21450,Active
Product B,Female,Location 245,Region 2,16600,9/1/2014,2000,40,365,3401,4601,12101,Active
Product B,Female,Location 62,Region 3,16600,3/25/2015,2000,40,365,3320,4480,14670,Active
Product A,Female,Location 18,Region 7,22250,8/21/2015,4000,50,365,4820,5710,7246,Active
Product C,NotSpecified,Location 323,Region 7,15600,12/17/2011,1000,40,365,2400,2400,10680,Active
Product B,Male,Location 67,Region 1,16600,3/16/2015,2000,40,365,3401,4681,14178,Active
Product D,Male,Location 36,Region 2,20250,8/17/2013,2000,50,365,3851,5151,14301,Active
Product A,Male,Location 10,Region 2,22250,3/4/2016,4000,50,365,5750,8800,19800,Active
Product C,NotSpecified,Location 528,Region 5,15600,3/30/2012,1000,40,365,2200,3200,14900,Active
Product A,Male,Location 73,Region 4,22250,7/3/2015,4000,50,365,4960,5610,17160,Active
Product B,Male,Location 105,Region 10,16600,5/17/2014,2000,40,365,3400,5000,15790,Active
Product C,Male,Location 530,Region 6,15600,3/22/2013,1000,40,365,2340,3360,12050,Active
Product A,Male,Location 58,Region 6,19250,1/9/2016,1000,50,365,-350,200,4850,Active
Product A,Male,Location 70,Region 7,22250,5/14/2016,4000,50,365,5370,6880,17230,Active
Product A,Male,Location 94,Region 6,19250,1/17/2016,1000,50,365,735,2455,16375,Active
Product A,Male,Location 25,Region 3,20250,7/8/2016,2000,50,365,1600,3050,17700,Active
Product E,Male,Location 300,Region 14,54625,3/7/2016,9000,125,365,12126,14376,31906,Active
Product A,Male,Location 11,Region 3,22250,6/13/2015,4000,50,365,4950,7550,18750,Active
Product B,Male,Location 187,Region 2,16600,6/20/2014,2000,40,365,4600,4600,14960,Active
Product B,Female,Location 26,Region 3,16600,3/5/2015,2000,40,365,2461,2821,5601,Active
Product A,Male,Location 58,Region 6,19250,3/28/2016,1000,50,365,-1950,-750,8800,Active
Product A,Male,Location 10,Region 2,22250,11/12/2015,4000,50,365,5500,7100,21850,Active
Product A,Male,Location 46,Region 2,22250,10/13/2015,4000,50,365,5400,6900,21470,Active
Product C,Female,Location 532,Region 3,15600,8/5/2012,1000,40,365,2110,3270,13710,Active
Product A,Male,Location 21,Region 7,19250,5/19/2016,1000,50,365,-2300,-1800,2939,Active
Product B,Male,Location 47,Region 7,16600,4/27/2015,2000,40,365,3441,5011,16081,Active
Product B,Male,Location 32,Region 6,16600,3/29/2014,2000,40,365,3401,4601,12161,Active
Product C,NotSpecified,Location 144,Region 1,15600,1/18/2013,1000,40,365,1720,2380,11980,Active
Product A,Male,Location 94,Region 6,19250,12/5/2015,1000,50,365,718,2186,17383,Active
Product B,Male,Location 25,Region 3,16600,7/18/2014,2000,40,365,3621,5421,16371,Active
Product B,NotSpecified,Location 32,Region 6,16600,5/3/2014,2000,40,365,3201,4401,13021,Active
Product B,Female,Location 17,Region 3,16600,5/24/2014,2000,40,365,3201,4421,15381,Active
Product B,Female,Location 40,Region 6,16600,3/13/2014,2000,40,365,3400,4600,16100,Active
Product B,Male,Location 534,Region 10,16600,1/26/2014,2000,40,365,2960,4010,10840,Active
Product B,Female,Location 75,Region 3,16600,5/20/2014,2000,40,365,3441,4401,13441,Active
Product D,Male,Location 17,Region 3,20250,9/28/2013,2000,50,365,3471,4821,16411,Active
Product A,Male,Location 47,Region 7,22250,6/26/2015,4000,50,365,6000,7000,21750,Active
Product B,Male,Location 3,Region 3,16600,12/8/2014,2000,40,365,3221,4391,15821,Active
Product B,Male,Location 67,Region 1,16600,7/26/2014,2000,40,365,3401,4601,16001,Active
Product A,Male,Location 4,Region 4,22250,8/23/2015,4000,50,365,5300,5800,12615,Active
Product B,Male,Location 2,Region 2,16600,5/9/2015,2000,40,365,3400,4600,15370,Active
Product B,Male,Location 369,Region 6,16600,1/15/2015,2000,40,365,5001,5621,16451,Active
Product A,Female,Location 91,Region 6,22250,6/19/2015,4000,50,365,5450,7050,20400,Active
Product B,Male,Location 23,Region 4,16600,3/6/2014,2000,40,365,3420,4300,9860,Active
Product D,Male,Location 35,Region 6,20250,10/21/2013,2000,50,365,4051,4826,10656,Active
Product B,Female,Location 535,Region 12,16600,3/3/2014,2000,40,365,4573,6073,15245,Active
Product D,Male,Location 536,Region 1,20250,7/14/2013,2000,50,365,3500,4950,13400,Active
Product C,Female,Location 287,Region 5,15600,8/12/2012,1000,40,365,2000,2920,6900,Active
Product A,Male,Location 89,Region 6,19250,4/18/2016,1000,50,365,-2100,-1100,8900,Active
Product B,Male,Location 10,Region 2,16600,4/19/2015,2000,40,365,2960,3760,8740,Active
Product A,Female,Location 33,Region 3,22250,10/5/2015,4000,50,365,5150,5800,12430,Active
Product A,Female,Location 28,Region 7,22250,8/23/2015,4000,50,365,5400,6950,17250,Active
Product B,Female,Location 29,Region 1,16600,4/27/2015,2000,40,365,2881,3981,12021,Active
Product E,Female,Location 26,Region 3,54625,10/8/2015,9000,125,365,21001,21001,53601,Active
Product D,Male,Location 218,Region 2,20250,10/3/2013,2000,50,365,3700,4778,11953,Active
Product D,Male,Location 104,Region 7,20250,10/29/2013,2000,50,365,3750,4650,7850,Active
Product A,Male,Location 2,Region 2,19250,2/14/2016,1000,50,365,-2000,-600,11550,Active
Product A,Female,Location 11,Region 3,22250,7/15/2015,4000,50,365,6500,7500,19710,Active
Product D,Male,Location 13,Region 6,20250,9/3/2013,2000,50,365,3750,5250,16250,Active
Product B,Male,Location 32,Region 6,16600,3/31/2014,2000,40,365,3150,4230,14900,Active
Product A,Female,Location 39,Region 6,19250,8/9/2015,1000,50,365,750,2230,8275,Active
Product E,Male,Location 86,Region 6,54625,4/2/2016,9000,125,365,12751,14626,49241,Active
Product A,Male,Location 13,Region 6,19250,8/13/2015,1000,50,365,640,1900,13330,Active
Product A,Female,Location 30,Region 2,22250,7/30/2015,4000,50,365,5500,6750,19550,Active
Product A,Female,Location 39,Region 6,20250,11/23/2015,2000,50,365,1251,2631,15131,Active
Product B,Male,Location 537,Region 5,16600,3/4/2014,2000,40,365,3081,4301,15841,Active
Product D,Male,Location 353,Region 6,20250,6/25/2013,2000,50,365,3401,5451,19001,Active
Product A,Female,Location 26,Region 3,20250,7/7/2016,2000,50,365,1250,2750,10750,Active
Product D,Male,Location 197,Region 5,20250,5/21/2013,2000,50,365,3271,4621,15941,Active
Product B,Male,Location 538,Region 17,16600,3/16/2014,2000,40,365,2900,4140,8380,Active
Product B,Male,Location 49,Region 6,16600,8/20/2014,2000,40,365,3401,4401,9401,Active
Product B,Female,Location 84,Region 3,16600,12/21/2014,2000,40,365,2971,4111,11251,Active
Product C,Male,Location 144,Region 1,15600,12/10/2012,1000,40,365,2200,3280,12997,Active
Product C,Male,Location 126,Region 2,15600,4/8/2013,1000,40,365,2400,3240,13400,Active
Product A,Female,Location 192,Region 6,20250,7/7/2016,2000,50,365,1850,3250,17480,Active
Product B,Female,Location 19,Region 2,16600,11/8/2014,2000,40,365,3280,4260,12825,Active
Product C,Male,Location 202,Region 13,13775,12/30/2013,1000,35,365,2400,3275,10205,Active
Product B,Female,Location 11,Region 3,16600,3/6/2015,2000,40,365,3041,4351,15316,Active
Product A,Female,Location 30,Region 2,22250,5/21/2015,4000,50,365,5250,5850,12250,Active
Product B,Female,Location 403,Region 1,16600,6/7/2014,2000,40,365,3101,4301,16281,Active
Product B,Female,Location 70,Region 7,16600,8/3/2014,2000,40,365,3131,4431,12371,Active
Product B,Male,Location 4,Region 4,16600,5/19/2014,2000,40,365,3101,4301,15741,Active
Product A,Female,Location 6,Region 1,19250,6/9/2016,1000,50,365,-1950,-700,12800,Active
Product B,Female,Location 58,Region 6,16600,7/22/2014,2000,40,365,3401,7001,15851,Active
Product E,Male,Location 25,Region 3,54625,4/2/2016,9000,125,365,11936,14666,38376,Active
Product D,Male,Location 540,Region 1,20250,8/20/2013,2000,50,365,3151,3901,4941,Active
Product B,Female,Location 2,Region 2,16600,5/10/2014,2000,40,365,3420,4620,15920,Active
Product A,Female,Location 38,Region 3,19250,1/15/2016,1000,50,365,450,2150,12580,Active
Product D,Male,Location 542,Region 1,20250,11/3/2013,2000,50,365,3401,4801,16431,Active
Product B,Female,Location 4,Region 4,16600,11/23/2014,2000,40,365,3400,4339,15759,Active
Product D,Female,Location 196,Region 2,20250,12/28/2013,2000,50,365,5930,6880,11840,Active
Product B,Male,Location 353,Region 6,16600,5/25/2014,2000,40,365,3401,4501,14401,Active
Product D,Male,Location 544,Region 6,20250,7/6/2013,2000,50,365,3500,4900,16400,Active
Product C,NotSpecified,Location 34,Region 1,15600,8/28/2012,1000,40,365,2560,3320,14400,Active
Product B,Male,Location 61,Region 2,16600,6/23/2014,2000,40,365,3120,4654,16094,Active
Product A,Male,Location 86,Region 6,20250,7/11/2016,2000,50,365,1500,2900,15900,Active
Product A,Male,Location 18,Region 7,22250,12/3/2015,4000,50,365,5140,5510,9790,Active
Product A,Male,Location 87,Region 6,20250,7/14/2016,2000,50,365,1780,1880,15230,Active
Product A,Male,Location 4,Region 4,22250,11/27/2015,4000,50,365,5250,6750,19500,Active
Product A,Male,Location 50,Region 1,19250,11/28/2015,1000,50,365,750,2150,16650,Active
Product A,Female,Location 17,Region 3,20250,8/1/2016,2000,50,365,1251,2826,10376,Active
Product B,Male,Location 91,Region 6,16600,8/11/2014,2000,40,365,3041,4161,11101,Active
Product C,NotSpecified,Location 177,Region 1,15600,9/9/2012,1000,40,365,2500,3500,13252,Active
Product D,Male,Location 17,Region 3,20250,11/26/2013,2000,50,365,5550,5550,9450,Active
Product B,Female,Location 30,Region 2,16600,5/22/2015,2000,40,365,2861,3421,7741,Active
Product B,Female,Location 44,Region 1,16600,3/30/2015,2000,40,365,2931,4111,15881,Active
Product B,Male,Location 1,Region 1,16600,4/9/2015,2000,40,365,3141,4311,14731,Active
Product A,Male,Location 113,Region 3,19250,11/22/2015,1000,50,365,500,2000,15150,Active
Product B,Female,Location 1,Region 1,16600,2/28/2015,2000,40,365,3401,3961,9991,Active
Product B,Male,Location 113,Region 3,16600,11/10/2014,2000,40,365,3761,4361,12101,Active
Product B,Male,Location 11,Region 3,16600,8/7/2014,2000,40,365,4241,4471,11851,Active
Product A,Male,Location 25,Region 3,22250,7/4/2015,4000,50,365,14100,16300,18650,Active
Product B,Male,Location 4,Region 4,16600,12/22/2014,2000,40,365,3040,4320,16040,Active
Product A,Female,Location 3,Region 3,22250,9/4/2015,4000,50,365,5150,6550,18410,Active
Product C,NotSpecified,Location 517,Region 2,15600,9/6/2012,1000,40,365,1930,2450,7970,Active
Product D,Male,Location 545,Region 12,20250,8/22/2013,2000,50,365,3550,5000,17360,Active
Product B,Female,Location 25,Region 3,16600,5/24/2014,2000,40,365,3401,4641,14281,Active
Product D,Male,Location 546,Region 2,20250,10/26/2013,2000,50,365,3301,4601,18101,Active
Product A,Male,Location 44,Region 1,22250,7/2/2015,4000,50,365,5400,6800,16900,Active
Product A,Male,Location 4,Region 4,22250,4/26/2016,4000,50,365,5250,6650,20750,Active
Product D,Male,Location 41,Region 1,20250,4/28/2013,2000,50,365,3501,4851,19451,Active
Product A,Male,Location 28,Region 7,22250,8/14/2015,4000,50,365,5400,6800,16230,Active
Product A,Female,Location 8,Region 2,22250,7/28/2015,4000,50,365,4600,4600,8700,Active
Product A,Male,Location 109,Region 7,22250,11/24/2015,4000,50,365,6100,6900,11510,Active
Product A,Female,Location 9,Region 6,22250,7/6/2015,4000,50,365,5300,6750,16600,Active
Product D,Female,Location 338,Region 1,20250,1/5/2014,2000,50,365,6100,7450,20100,Active
Product B,Male,Location 37,Region 4,16600,9/15/2014,2000,40,365,3021,3881,10561,Active
Product A,Female,Location 39,Region 6,22250,5/31/2015,4000,50,365,5400,6800,21050,Active
Product B,Female,Location 38,Region 3,16600,7/20/2014,2000,40,365,3201,4201,15181,Active
Product D,Male,Location 549,Region 2,20250,8/11/2013,2000,50,365,3601,5101,13301,Active
